15244749863	18101213362	20200502084812	20437
13319935953	17885275338	20200305144008	14696
17885275338	19565082510	20200307185414	18128
14397114174	13319935953	20200206000558	28346
17336673697	16569963779	20200317205939	13102
14930423697	18840172592	20200929091204	0840
16160892861	17405139883	20200527225853	12810
13319935953	14171709460	20200128110802	5023
19154926260	18840172592	20200409054905	4856
14930423697	19565082510	20200907202615	3141
15244749863	15647679901	20200126234540	1086
17405139883	15280214634	20201024140110	13324
18840172592	14397114174	20200410141730	25965
19313925217	18101213362	20200315230635	25474
19154926260	14397114174	20200703065758	10635
15781588029	14410679238	20200721172551	27379
17336673697	19342117869	20200626003420	8045
15884588694	16160892861	20200411061624	7474
19342117869	14410679238	20200917181754	29000
18101213362	14410679238	20200806002834	28469
15884588694	15781588029	20200729050924	6722
15280214634	15305526350	20200401060327	28962
19342117869	17405139883	20200801081346	1143
15884588694	15781588029	20200426203434	12108
16160892861	15244749863	20200805094126	16879
19342117869	13319935953	20200110040004	13399
16574556259	15884588694	20200923214710	3000
14930423697	13319935953	20200408142249	10810
14397114174	14171709460	20201011103359	14587
16574556259	19313925217	20200117205458	2700
